aX,aY,aZ,gX,gY,gZ
-0.115,0.797,1.101,-235.291,39.185,-38.635
-0.176,0.623,1.000,-199.280,-0.732,0.244
-0.159,0.613,0.876,-168.823,-30.518,50.049
-0.027,0.629,0.562,-169.678,-12.085,42.114
0.009,0.643,0.440,-200.562,28.687,-15.320
-0.049,0.974,0.434,-233.276,38.879,-36.377
-0.056,1.230,0.642,-266.968,45.166,-40.344
0.011,1.620,1.255,-289.734,52.063,-26.367
0.018,1.743,1.515,-270.569,52.979,-24.170
0.023,1.924,1.948,-186.584,55.725,-21.851
0.056,2.243,2.431,-130.310,58.533,-10.315
0.111,2.466,2.248,24.658,36.255,50.537
0.463,1.382,1.466,88.989,8.606,47.180
0.422,1.250,1.469,96.558,18.311,-20.386
0.099,1.580,1.501,116.577,27.588,-60.913
-0.035,1.698,1.410,173.950,37.354,-92.834
-0.065,1.783,1.226,202.087,34.729,-77.332
0.035,1.755,1.196,254.944,7.874,-34.119
0.153,1.620,1.083,276.367,-6.165,-30.273
0.074,1.490,0.953,313.110,-16.052,-50.842
-0.125,1.259,0.685,324.768,-12.817,-53.650
-0.112,1.209,0.646,321.716,17.578,-58.289
0.012,0.946,0.642,318.420,35.767,-72.083
0.045,0.697,0.642,324.402,23.804,-77.271
0.067,0.370,0.643,326.599,-6.409,-61.218
0.062,0.391,0.629,320.312,-54.993,-37.903
-0.014,0.455,0.519,316.467,-51.697,-40.894
-0.015,0.362,0.455,324.768,-27.954,-42.847
0.070,0.091,0.353,330.383,-33.691,-38.513
0.084,0.042,0.357,322.754,-64.026,-36.194
0.023,0.126,0.334,313.660,-55.298,-56.091
-0.025,0.021,0.269,310.181,-35.217,-83.862
-0.064,-0.182,0.219,305.969,-59.265,-60.059
-0.067,-0.087,0.252,296.570,-88.745,-28.748
-0.064,-0.047,0.193,285.400,-76.233,-24.353
-0.069,-0.131,0.092,291.321,-55.603,-35.583
-0.080,-0.234,-0.058,308.594,-78.369,-27.405
-0.108,-0.182,-0.101,316.162,-110.107,-11.169
-0.215,-0.193,-0.127,333.984,-141.174,26.428
-0.246,-0.282,-0.149,342.529,-136.169,51.636
-0.162,-0.578,-0.459,356.934,-131.042,129.211
0.047,-0.836,-0.731,362.244,-146.179,189.636
0.466,-1.188,-1.307,354.858,-151.855,221.008
1.236,-2.356,-3.107,289.062,-125.671,144.897
1.172,-2.709,-3.623,9.827,-18.921,-41.870
0.532,-2.298,-3.049,-112.122,34.119,-84.656
0.219,-1.865,-2.311,-234.131,108.093,-111.084
-0.127,-1.286,-1.131,-259.827,141.785,-126.160
-0.181,-1.135,-0.804,-287.109,191.284,-143.799
-0.077,-0.976,-0.489,-296.509,189.270,-126.892
0.013,-0.916,-0.366,-316.895,105.774,-32.776
0.015,-0.780,0.004,-334.473,43.396,11.414
-0.037,-0.715,0.199,-358.459,-15.442,41.382
-0.077,-0.689,0.415,-328.430,6.592,19.348
-0.095,-0.680,0.307,-257.629,90.698,-45.166

0.089,1.430,1.339,-243.408,-41.138,71.899
0.120,1.429,1.405,-204.407,-7.629,32.715
0.127,1.230,1.284,-172.974,5.188,17.029
0.099,1.141,1.183,-133.667,-6.775,22.156
0.033,1.085,1.118,-129.395,-14.038,31.189
0.043,1.097,1.161,-121.704,3.235,33.691
0.083,1.122,1.263,-109.741,18.799,22.949
0.083,1.137,1.281,-76.965,37.048,-5.493
0.063,1.318,1.322,-62.439,36.926,-11.414
0.110,1.486,1.454,-42.542,34.546,-3.662
0.304,1.757,1.904,-20.996,35.583,-3.479
0.353,1.808,2.021,63.782,34.851,-36.865
0.234,1.814,1.759,110.229,34.790,-58.716
0.158,1.823,1.572,147.888,33.936,-70.190
0.217,1.820,1.466,202.759,26.978,-55.969
0.281,1.787,1.427,231.750,16.724,-49.011
0.281,1.725,1.294,288.391,-15.747,-61.951
0.157,1.462,0.929,310.303,-29.724,-66.772
0.063,1.272,0.798,336.060,-37.170,-62.988
-0.109,0.975,0.599,333.557,-32.349,-55.237
-0.125,0.870,0.605,318.970,-15.869,-35.461
-0.080,0.740,0.605,317.810,-3.479,-39.978
-0.061,0.717,0.526,314.026,17.944,-64.941
0.025,0.668,0.492,308.472,23.743,-73.181
0.071,0.638,0.506,297.180,32.837,-95.886
0.071,0.460,0.435,298.950,26.855,-100.708
0.060,0.409,0.395,318.542,-16.052,-84.534
0.088,0.479,0.379,325.500,-25.818,-85.876
0.109,0.403,0.339,333.679,-9.949,-121.765
0.083,0.112,0.226,335.022,-21.912,-130.066
0.065,0.053,0.192,327.332,-90.576,-111.023
0.000,0.037,0.213,322.571,-117.187,-91.614
-0.034,0.076,0.235,334.595,-122.375,-73.547
-0.171,-0.028,0.154,356.384,-109.985,-84.229
-0.274,-0.067,0.057,379.883,-83.191,-84.167
-0.336,-0.032,0.017,378.296,-68.542,-69.397
-0.325,-0.151,0.104,388.306,-74.829,-33.142
-0.312,-0.426,0.068,404.175,-103.699,-10.071
-0.323,-0.454,-0.338,474.121,-145.020,21.179
-0.224,-0.919,-2.059,493.469,-133.850,22.705
-0.192,-1.557,-3.024,336.975,-105.774,22.461
-0.317,-2.448,-3.880,180.420,-93.567,21.484
-0.405,-2.316,-3.681,-76.904,-14.404,7.751
-0.424,-1.756,-2.713,-146.301,38.269,9.216
-0.356,-1.575,-2.169,-239.136,95.337,32.593
-0.128,-1.236,-1.252,-282.288,99.487,43.640
-0.021,-1.071,-0.918,-347.290,95.764,47.546
0.101,-0.838,-0.471,-361.389,95.642,43.457
0.124,-0.770,-0.326,-364.624,95.093,38.269
0.128,-0.673,-0.148,-351.135,87.341,34.912
0.103,-0.647,-0.091,-334.167,74.463,30.823
0.075,-0.605,-0.037,-331.787,17.517,31.433
-0.031,-0.422,0.102,-321.045,-4.822,30.762
-0.084,-0.359,0.166,-281.311,7.751,11.230
-0.175,-0.291,0.182,-273.621,30.090,4.395
-0.182,-0.252,0.175,-278.503,52.673,14.954
-0.160,-0.153,0.211,-284.912,44.067,29.663
-0.152,-0.095,0.256,-296.875,1.282,65.002
-0.194,0.068,0.365,-298.584,-19.287,75.867
-0.213,0.159,0.387,-288.269,-19.287,66.040
-0.176,0.257,0.421,-279.846,-2.136,54.687
-0.117,0.304,0.469,-268.921,27.588,37.354
-0.032,0.439,0.536,-266.968,38.330,25.146
-0.033,0.452,0.519,-272.827,37.903,27.283
-0.049,0.477,0.510,-277.954,12.451,47.607
-0.055,0.537,0.515,-308.228,-49.255,80.872
-0.062,0.697,0.397,-347.717,-48.096,96.191
-0.045,0.852,0.267,-385.559,-28.259,103.271
0.003,1.299,0.205,-361.816,-28.320,74.463
0.036,1.507,0.374,-347.900,8.240,9.644
0.128,1.997,0.994,-369.873,37.231,-13.245
0.179,2.217,1.372,-365.051,83.008,-46.143
0.264,2.282,2.114,-316.895,81.055,-38.025
0.252,2.217,2.309,-172.363,11.292,32.898
0.233,2.048,2.221,-97.595,-30.884,67.383
0.275,1.920,2.078,-34.607,-54.382,82.703
0.335,1.594,1.818,44.617,-33.936,49.866
0.284,1.447,1.684,66.833,-11.963,16.357
0.078,1.276,1.419,92.407,12.451,-33.630
-0.003,1.275,1.352,102.051,15.076,-37.659
-0.039,1.326,1.329,124.268,18.005,-26.733
0.002,1.458,1.358,141.235,19.958,-23.926
0.044,1.499,1.362,188.660,20.508,-32.410
0.114,1.499,1.275,213.867,19.348,-39.063
0.115,1.469,1.193,254.578,14.404,-43.152
0.107,1.349,1.030,269.775,10.803,-36.621
0.129,1.210,0.985,300.903,-6.409,-18.127
0.156,0.857,0.881,314.453,-23.560,-10.071
0.135,0.754,0.818,322.754,-48.828,-0.183
0.041,0.653,0.673,324.890,-46.936,-3.723
-0.010,0.611,0.597,338.501,-27.405,-26.245
-0.061,0.368,0.514,345.703,-22.034,-40.588
-0.072,0.271,0.463,330.872,-23.804,-51.941
-0.060,0.171,0.376,316.650,-28.870,-45.776
-0.066,0.124,0.352,308.289,-36.743,-36.438
-0.103,0.152,0.300,306.824,-46.021,-28.137
-0.103,0.139,0.281,307.068,-37.170,-33.997
-0.068,0.053,0.285,302.307,-18.066,-42.053
-0.020,-0.041,0.352,290.161,-18.494,-41.565
-0.041,0.037,0.345,250.732,-11.658,-36.194
0.007,0.078,0.441,241.516,-4.944,-25.818
0.058,0.050,0.499,257.019,-9.338,-20.020
0.027,-0.063,0.407,278.137,-23.865,-23.437
-0.031,-0.138,0.278,313.477,-57.617,-6.348
-0.125,-0.252,-0.022,322.082,-74.280,12.817
-0.151,-0.442,-0.183,350.220,-114.136,55.908
-0.090,-1.102,-0.867,362.366,-135.803,85.510
0.051,-1.400,-1.439,337.952,-155.701,127.136
0.410,-2.150,-2.542,285.339,-142.029,115.784
0.460,-2.450,-2.860,99.243,-53.101,29.846
0.310,-2.490,-2.866,0.183,3.174,-18.433
0.150,-2.272,-2.505,-154.114,69.458,-70.740
-0.096,-1.686,-1.569,-209.106,80.688,-74.585
-0.114,-1.440,-1.190,-280.640,80.627,-48.279
-0.021,-1.125,-0.648,-302.002,73.303,-29.297
0.029,-0.996,-0.451,-321.045,65.430,-7.446
0.070,-0.810,-0.175,-322.205,64.941,-13.000
0.078,-0.726,-0.060,-343.018,51.270,-26.550
0.049,-0.557,0.144,-333.130,44.189,-34.302

0.010,1.844,1.314,-274.658,-35.706,-37.415
-0.010,1.953,1.552,-221.497,2.869,-63.477
-0.063,1.974,1.911,-173.462,19.531,-53.101
-0.053,2.064,2.338,-50.720,25.696,1.953
0.093,2.217,1.800,19.653,21.118,34.241
0.244,1.596,1.287,130.798,-47.058,39.551
0.107,1.081,1.265,120.911,-41.931,20.081
0.002,1.234,1.271,109.985,16.052,-28.381
-0.064,1.331,1.305,124.451,37.415,-48.340
-0.021,1.365,1.312,160.767,43.457,-54.199
0.106,1.400,1.368,178.955,29.724,-43.762
0.134,1.434,1.362,196.106,13.855,-30.518
0.110,1.454,1.299,234.131,-4.211,-18.799
-0.021,1.398,1.058,253.540,-2.808,-15.320
